0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,1,1,0
0,0,0,0,1,1,0,0,1,1,1
0,0,0,0,1,1,1,1,0,0,1
0,0,1,1,0,0,0,0,1,1,2
0,0,1,1,0,0,1,1,0,0,2
0,0,1,1,1,1,0,0,0,0,3
0,0,1,1,1,1,1,1,1,1,3
0,1,0,1,0,1,0,1,0,1,4
0,1,0,1,0,1,1,0,1,0,4
0,1,0,1,1,0,0,1,1,0,5
0,1,0,1,1,0,1,0,0,1,5
0,1,1,0,0,1,0,1,1,0,6
0,1,1,0,0,1,1,0,0,1,6
0,1,1,0,1,0,0,1,0,1,7
0,1,1,0,1,0,1,0,1,0,7
1,0,0,0,0,1,0,1,0,1,8
1,0,0,1,0,0,0,1,1,0,8
1,0,0,1,0,1,1,0,0,0,9
1,0,0,1,1,0,0,0,0,1,9
1,0,1,0,0,1,1,1,1,0,10
1,0,1,0,1,0,0,1,1,1,10
1,0,1,0,1,1,1,0,0,1,11
1,0,1,1,1,0,1,0,1,0,11
1,1,0,0,0,0,1,0,1,1,12
1,1,0,0,1,0,1,1,0,0,12
1,1,0,0,1,1,0,0,1,0,13
1,1,0,1,1,1,1,1,1,1,13
1,1,1,0,0,0,0,0,0,0,14
1,1,1,1,0,0,1,1,0,1,14
1,1,1,1,0,1,0,0,1,1,15
1,1,1,1,1,1,0,1,0,0,15
2,0,0,0,1,0,1,0,1,0,16
2,0,0,1,0,1,1,0,1,1,16
2,0,0,1,1,0,1,1,0,1,17
2,0,0,1,1,1,0,1,1,0,17
2,0,1,0,0,0,1,0,0,1,18
2,0,1,0,0,1,0,0,1,0,18
2,0,1,0,1,0,0,1,0,0,19
2,0,1,1,0,1,0,1,0,1,19
2,1,0,0,0,0,0,1,1,1,20
2,1,0,0,0,1,1,1,0,0,20
2,1,0,0,1,1,0,0,0,1,21
2,1,0,1,0,0,0,0,0,0,21
2,1,1,0,1,1,1,1,1,1,22
2,1,1,1,0,0,1,1,1,0,22
2,1,1,1,1,0,0,0,1,1,23
2,1,1,1,1,1,1,0,0,0,23
